Data,Organisation unit,Value
LwxiPaHQwif,404104,100.0
LwxiPaHQwif,501006,95.0
LwxiPaHQwif,555202,99.5
LwxiPaHQwif,100602,100.0
LwxiPaHQwif,603602,100.0
LwxiPaHQwif,201202,100.4
LwxiPaHQwif,503813,100.0
LwxiPaHQwif,401807,100.0
LwxiPaHQwif,302903,100.0
LwxiPaHQwif,200304,100.0
LwxiPaHQwif,100409,98.9
LwxiPaHQwif,306702,100.0
LwxiPaHQwif,201233,100.0
LwxiPaHQwif,408704,100.0
LwxiPaHQwif,507605,98.7
LwxiPaHQwif,307204,106.2
LwxiPaHQwif,506403,0.0
LwxiPaHQwif,557704,100.0
LwxiPaHQwif,304802,100.0
LwxiPaHQwif,100603,100.0
LwxiPaHQwif,506406,96.4
LwxiPaHQwif,558503,93.5
LwxiPaHQwif,506909,101.1
LwxiPaHQwif,400108,100.0
LwxiPaHQwif,508110,83.0
LwxiPaHQwif,208407,73.5
LwxiPaHQwif,404109,100.0
LwxiPaHQwif,508112,100.0
LwxiPaHQwif,603605,102.4
LwxiPaHQwif,304806,100.0
LwxiPaHQwif,100607,100.0
LwxiPaHQwif,303907,95.0
LwxiPaHQwif,609108,100.0
LwxiPaHQwif,559408,100.0
LwxiPaHQwif,308207,87.7
LwxiPaHQwif,100419,100.0
LwxiPaHQwif,100610,94.2
LwxiPaHQwif,201204,98.2
LwxiPaHQwif,306706,159.6
LwxiPaHQwif,200314,54.8
LwxiPaHQwif,603611,100.0
LwxiPaHQwif,506915,62.3
LwxiPaHQwif,100428,98.1
LwxiPaHQwif,307209,99.5
LwxiPaHQwif,100651,83.6
LwxiPaHQwif,208421,100.0
LwxiPaHQwif,605814,95.2
LwxiPaHQwif,201909,91.4
LwxiPaHQwif,309309,51.0
LwxiPaHQwif,404712,86.9
LwxiPaHQwif,107838,100.0
LwxiPaHQwif,609117,37.9
LwxiPaHQwif,207507,100.0
LwxiPaHQwif,306807,100.0
LwxiPaHQwif,208429,95.2
LwxiPaHQwif,508811,100.0
LwxiPaHQwif,507616,89.9
LwxiPaHQwif,100447,100.0
LwxiPaHQwif,306113,100.0
LwxiPaHQwif,107914,100.0
LwxiPaHQwif,302910,100.0
LwxiPaHQwif,507619,94.0
LwxiPaHQwif,304811,100.0
LwxiPaHQwif,308614,100.0
LwxiPaHQwif,405015,99.7
LwxiPaHQwif,100918,87.1
LwxiPaHQwif,507018,100.0
LwxiPaHQwif,309319,100.0
LwxiPaHQwif,554906,77.1
LwxiPaHQwif,552717,57.4
LwxiPaHQwif,552710,89.8
LwxiPaHQwif,552712,100.0
LwxiPaHQwif,609018,97.6
LwxiPaHQwif,609120,100.0
LwxiPaHQwif,302918,100.0
LwxiPaHQwif,552721,57.1
LwxiPaHQwif,557725,90.8
