Data,Organisation unit,Value
FzTEiMtiSQN,404104,0.0
FzTEiMtiSQN,401807,37.4
FzTEiMtiSQN,200304,100.0
FzTEiMtiSQN,201504,100.0
FzTEiMtiSQN,506403,100.0
FzTEiMtiSQN,557704,50.0
FzTEiMtiSQN,304802,100.0
FzTEiMtiSQN,100603,100.0
FzTEiMtiSQN,508110,100.0
FzTEiMtiSQN,303907,0.0
FzTEiMtiSQN,605814,100.0
FzTEiMtiSQN,306113,47.1
FzTEiMtiSQN,107914,0.0
FzTEiMtiSQN,304811,100.0
FzTEiMtiSQN,309319,100.0
FzTEiMtiSQN,552710,50.0
FzTEiMtiSQN,557725,100.0
FzTEiMtiSQN,508125,100.0
FzTEiMtiSQN,207510,52.6
FzTEiMtiSQN,507622,0.0
FzTEiMtiSQN,404111,66.7
FzTEiMtiSQN,203014,66.7
FzTEiMtiSQN,308625,0.0
FzTEiMtiSQN,408725,100.0
FzTEiMtiSQN,204643,100.0
FzTEiMtiSQN,400134,100.0
FzTEiMtiSQN,609135,50.0
FzTEiMtiSQN,552738,41.7
FzTEiMtiSQN,554952,40.0
FzTEiMtiSQN,203041,100.0
FzTEiMtiSQN,306122,100.0
FzTEiMtiSQN,558527,100.0
FzTEiMtiSQN,309328,100.0
FzTEiMtiSQN,309338,47.4
FzTEiMtiSQN,305628,0.0
FzTEiMtiSQN,201954,100.0
FzTEiMtiSQN,507639,100.0
FzTEiMtiSQN,557336,66.7
FzTEiMtiSQN,308937,100.0
FzTEiMtiSQN,401855,0.0
FzTEiMtiSQN,201358,45.5
FzTEiMtiSQN,309347,100.0
FzTEiMtiSQN,302638,75.0
FzTEiMtiSQN,404442,49.1
FzTEiMtiSQN,404753,32.6
FzTEiMtiSQN,506944,33.3
FzTEiMtiSQN,309357,31.3
FzTEiMtiSQN,506450,100.0
FzTEiMtiSQN,304859,0.0
FzTEiMtiSQN,405566,66.7
FzTEiMtiSQN,405760,50.0
FzTEiMtiSQN,603677,50.0
FzTEiMtiSQN,302962,60.0
FzTEiMtiSQN,309376,36.8
FzTEiMtiSQN,554918,50.0
FzTEiMtiSQN,200373,0.0
FzTEiMtiSQN,306172,46.9
FzTEiMtiSQN,506469,60.0
FzTEiMtiSQN,304879,100.0
FzTEiMtiSQN,555270,35.5
FzTEiMtiSQN,100485,0.0
FzTEiMtiSQN,506475,14.3
FzTEiMtiSQN,558573,37.9
FzTEiMtiSQN,558576,100.0
FzTEiMtiSQN,205158,55.4
FzTEiMtiSQN,205165,100.0
FzTEiMtiSQN,200391,50.0
FzTEiMtiSQN,309385,67.6
FzTEiMtiSQN,400177,100.0
FzTEiMtiSQN,501081,100.0
FzTEiMtiSQN,303985,100.0
FzTEiMtiSQN,201395,66.7
FzTEiMtiSQN,305678,58.8
FzTEiMtiSQN,507088,0.0
FzTEiMtiSQN,303386,100.0
FzTEiMtiSQN,405595,0.0
FzTEiMtiSQN,207585,100.0
FzTEiMtiSQN,304892,100.0
FzTEiMtiSQN,508889,0.0
FzTEiMtiSQN,202294,16.7
FzTEiMtiSQN,609194,75.0
ItzZiE04Nk2,404104,100.0
ItzZiE04Nk2,401807,62.6
ItzZiE04Nk2,200304,0.0
ItzZiE04Nk2,201504,0.0
ItzZiE04Nk2,506403,0.0
ItzZiE04Nk2,557704,50.0
ItzZiE04Nk2,304802,0.0
ItzZiE04Nk2,100603,0.0
ItzZiE04Nk2,508110,0.0
ItzZiE04Nk2,303907,100.0
ItzZiE04Nk2,605814,0.0
ItzZiE04Nk2,306113,52.9
ItzZiE04Nk2,107914,100.0
ItzZiE04Nk2,304811,0.0
ItzZiE04Nk2,309319,0.0
ItzZiE04Nk2,552710,50.0
ItzZiE04Nk2,557725,0.0
ItzZiE04Nk2,508125,0.0
ItzZiE04Nk2,207510,47.4
ItzZiE04Nk2,507622,100.0
ItzZiE04Nk2,404111,33.3
ItzZiE04Nk2,203014,33.3
ItzZiE04Nk2,308625,100.0
ItzZiE04Nk2,408725,0.0
ItzZiE04Nk2,204643,0.0
ItzZiE04Nk2,400134,0.0
ItzZiE04Nk2,609135,50.0
ItzZiE04Nk2,552738,58.3
ItzZiE04Nk2,554952,60.0
ItzZiE04Nk2,203041,0.0
ItzZiE04Nk2,306122,0.0
ItzZiE04Nk2,558527,0.0
ItzZiE04Nk2,309328,0.0
ItzZiE04Nk2,309338,52.6
ItzZiE04Nk2,305628,100.0
ItzZiE04Nk2,201954,0.0
ItzZiE04Nk2,507639,0.0
ItzZiE04Nk2,557336,33.3
ItzZiE04Nk2,308937,0.0
ItzZiE04Nk2,401855,100.0
ItzZiE04Nk2,201358,54.5
ItzZiE04Nk2,309347,0.0
ItzZiE04Nk2,302638,25.0
ItzZiE04Nk2,404442,50.9
ItzZiE04Nk2,404753,67.4
ItzZiE04Nk2,506944,66.7
ItzZiE04Nk2,309357,68.8
ItzZiE04Nk2,506450,0.0
ItzZiE04Nk2,304859,100.0
ItzZiE04Nk2,405566,33.3
ItzZiE04Nk2,405760,50.0
ItzZiE04Nk2,603677,50.0
ItzZiE04Nk2,302962,40.0
ItzZiE04Nk2,309376,63.2
ItzZiE04Nk2,554918,50.0
ItzZiE04Nk2,200373,100.0
ItzZiE04Nk2,306172,53.1
ItzZiE04Nk2,506469,40.0
ItzZiE04Nk2,304879,0.0
ItzZiE04Nk2,555270,64.5
ItzZiE04Nk2,100485,100.0
ItzZiE04Nk2,506475,85.7
ItzZiE04Nk2,558573,62.1
ItzZiE04Nk2,558576,0.0
ItzZiE04Nk2,205158,44.6
ItzZiE04Nk2,205165,0.0
ItzZiE04Nk2,200391,50.0
ItzZiE04Nk2,309385,32.4
ItzZiE04Nk2,400177,0.0
ItzZiE04Nk2,501081,0.0
ItzZiE04Nk2,303985,0.0
ItzZiE04Nk2,201395,33.3
ItzZiE04Nk2,305678,41.2
ItzZiE04Nk2,507088,100.0
ItzZiE04Nk2,303386,0.0
ItzZiE04Nk2,405595,100.0
ItzZiE04Nk2,207585,0.0
ItzZiE04Nk2,304892,0.0
ItzZiE04Nk2,508889,100.0
ItzZiE04Nk2,202294,83.3
ItzZiE04Nk2,609194,25.0
tY985po4GQR,404104,8.4
tY985po4GQR,501006,59.2
tY985po4GQR,555202,12.0
tY985po4GQR,100602,83.9
tY985po4GQR,603602,30.1
tY985po4GQR,201202,43.2
tY985po4GQR,503813,35.3
tY985po4GQR,401807,28.7
tY985po4GQR,302903,43.9
tY985po4GQR,200304,29.7
tY985po4GQR,100409,9.2
tY985po4GQR,201504,23.5
tY985po4GQR,306702,47.9
tY985po4GQR,201233,136.4
tY985po4GQR,408704,12.7
tY985po4GQR,507605,53.7
tY985po4GQR,307204,3.5
tY985po4GQR,506403,15.5
tY985po4GQR,557704,25.9
tY985po4GQR,304802,58.4
tY985po4GQR,100603,58.7
tY985po4GQR,506406,162.2
tY985po4GQR,558503,25.7
tY985po4GQR,506909,63.8
tY985po4GQR,508110,15.3
tY985po4GQR,208407,14.1
tY985po4GQR,404109,24.4
tY985po4GQR,508112,31.7
tY985po4GQR,603605,8.7
tY985po4GQR,304806,0.0
tY985po4GQR,100607,28.8
tY985po4GQR,303907,69.6
tY985po4GQR,609108,28.7
tY985po4GQR,559408,63.7
tY985po4GQR,308207,34.7
tY985po4GQR,100419,64.0
tY985po4GQR,100610,31.8
tY985po4GQR,201204,33.8
tY985po4GQR,306706,212.9
tY985po4GQR,603611,21.2
tY985po4GQR,201508,40.4
tY985po4GQR,506915,7.2
tY985po4GQR,307209,22.9
tY985po4GQR,208421,37.1
tY985po4GQR,605814,22.4
tY985po4GQR,201909,94.8
tY985po4GQR,309309,27.3
tY985po4GQR,404712,88.1
tY985po4GQR,107838,72.5
tY985po4GQR,609117,3.8
tY985po4GQR,207507,69.6
tY985po4GQR,306807,50.8
tY985po4GQR,208429,45.5
tY985po4GQR,508811,25.3
tY985po4GQR,507616,53.4
tY985po4GQR,100447,60.8
tY985po4GQR,306113,35.1
tY985po4GQR,107914,55.7
tY985po4GQR,302910,26.5
tY985po4GQR,507619,62.2
tY985po4GQR,304811,22.3
tY985po4GQR,308614,0.0
tY985po4GQR,405015,11.4
tY985po4GQR,507018,8.0
tY985po4GQR,309319,32.5
tY985po4GQR,554906,42.3
tY985po4GQR,552717,55.7
tY985po4GQR,552710,20.7
tY985po4GQR,552712,75.9
tY985po4GQR,609018,46.5
tY985po4GQR,609120,46.7
tY985po4GQR,201512,52.7
tY985po4GQR,302918,26.9
tY985po4GQR,552721,323.9
tY985po4GQR,557725,158.8
tY985po4GQR,201915,82.2
tY985po4GQR,100921,18.7
tY985po4GQR,201918,71.5
tY985po4GQR,202216,15.5
tY985po4GQR,201518,43.9
tY985po4GQR,201927,86.7
tY985po4GQR,302921,92.9
tY985po4GQR,100925,6.3
tY985po4GQR,554908,83.3
tY985po4GQR,508125,2.1
tY985po4GQR,207510,67.0
tY985po4GQR,507622,36.0
tY985po4GQR,201931,40.0
tY985po4GQR,404111,33.1
tY985po4GQR,508827,22.2
tY985po4GQR,203014,176.2
tY985po4GQR,609023,14.6
tY985po4GQR,554909,0.0
tY985po4GQR,552730,101.6
tY985po4GQR,400114,62.9
tY985po4GQR,603626,21.9
tY985po4GQR,207521,40.7
tY985po4GQR,609127,20.1
tY985po4GQR,404717,42.6
tY985po4GQR,203025,19.9
tY985po4GQR,609131,700.0
tY985po4GQR,308625,64.0
tY985po4GQR,401831,57.4
tY985po4GQR,107852,144.6
tY985po4GQR,201936,30.0
tY985po4GQR,100929,115.6
tY985po4GQR,405039,7.0
tY985po4GQR,305610,67.1
tY985po4GQR,408725,16.2
tY985po4GQR,201940,98.1
tY985po4GQR,557734,25.1
tY985po4GQR,309323,835.1
tY985po4GQR,609027,3.4
tY985po4GQR,303915,65.6
tY985po4GQR,506428,39.0
tY985po4GQR,302614,9.4
tY985po4GQR,309325,84.6
tY985po4GQR,609029,40.8
tY985po4GQR,306116,21.0
tY985po4GQR,501027,41.7
