Data,Organisation unit,Value
FzTEiMtiSQN,10001737,0.0
FzTEiMtiSQN,10001719,37.4
FzTEiMtiSQN,10000652,100.0
FzTEiMtiSQN,10000729,100.0
FzTEiMtiSQN,10001363,100.0
FzTEiMtiSQN,10001500,50.0
FzTEiMtiSQN,10000223,100.0
FzTEiMtiSQN,10001955,100.0
FzTEiMtiSQN,10001527,100.0
FzTEiMtiSQN,10000188,0.0
FzTEiMtiSQN,10002096,100.0
FzTEiMtiSQN,10000230,100.0
FzTEiMtiSQN,10000352,47.1
FzTEiMtiSQN,10002055,0.0
FzTEiMtiSQN,10000586,100.0
FzTEiMtiSQN,10001189,50.0
FzTEiMtiSQN,10001502,100.0
FzTEiMtiSQN,10001528,100.0
FzTEiMtiSQN,10001031,52.6
FzTEiMtiSQN,10001479,0.0
FzTEiMtiSQN,10000942,66.7
FzTEiMtiSQN,10001744,66.7
FzTEiMtiSQN,10000544,0.0
FzTEiMtiSQN,10001917,100.0
FzTEiMtiSQN,10000973,100.0
FzTEiMtiSQN,10001701,100.0
FzTEiMtiSQN,10002181,50.0
FzTEiMtiSQN,10001220,41.7
FzTEiMtiSQN,10002235,40.0
FzTEiMtiSQN,HS_27480050000,100.0
FzTEiMtiSQN,10001579,100.0
FzTEiMtiSQN,10000601,100.0
FzTEiMtiSQN,10000369,100.0
FzTEiMtiSQN,10000607,47.4
FzTEiMtiSQN,10000288,0.0
FzTEiMtiSQN,10000887,100.0
FzTEiMtiSQN,10001482,100.0
FzTEiMtiSQN,10001455,66.7
FzTEiMtiSQN,10000565,100.0
FzTEiMtiSQN,10001734,0.0
FzTEiMtiSQN,10000715,45.5
FzTEiMtiSQN,10000613,100.0
FzTEiMtiSQN,10000074,75.0
FzTEiMtiSQN,10001780,49.1
FzTEiMtiSQN,10001817,32.6
FzTEiMtiSQN,10001426,33.3
FzTEiMtiSQN,10000249,0.0
FzTEiMtiSQN,10000629,31.3
FzTEiMtiSQN,10001388,100.0
FzTEiMtiSQN,10001882,66.7
FzTEiMtiSQN,10001902,50.0
FzTEiMtiSQN,10002094,50.0
FzTEiMtiSQN,10000120,60.0
FzTEiMtiSQN,10000634,36.8
FzTEiMtiSQN,10001322,50.0
FzTEiMtiSQN,10000658,0.0
FzTEiMtiSQN,10000404,46.9
FzTEiMtiSQN,10001395,60.0
FzTEiMtiSQN,10000252,100.0
FzTEiMtiSQN,10001355,35.5
FzTEiMtiSQN,10001947,0.0
FzTEiMtiSQN,10001402,14.3
FzTEiMtiSQN,10001594,37.9
FzTEiMtiSQN,10001603,100.0
FzTEiMtiSQN,10001003,55.4
