Data,Organisation unit,Value
rAHEGe7ojkW,dNLjKwsVjod,2444437.0
PgqcWC1fMtv,dNLjKwsVjod,5524200.0
o7EbOkvA7Mz,dNLjKwsVjod,21768.0
Z4qk8nfmByw,dNLjKwsVjod,1373352.0
MlNK8OmM5eZ,dNLjKwsVjod,3.0
gtEebAlxRtH,dNLjKwsVjod,3212745.0
EdudPa6XKdj,dNLjKwsVjod,6269129.0
w5pQTE562o8,dNLjKwsVjod,21071.0
T6PJcVzNlsY,dNLjKwsVjod,27315.0
hHCzmfaeXIl,dNLjKwsVjod,1761688.0
FTFkUbgBYKX,dNLjKwsVjod,2896200.0
G77wLzA1L1O,dNLjKwsVjod,1193710.0
VFBlxubf91a,dNLjKwsVjod,2222958.0
cc3m9THocqU,dNLjKwsVjod,1362.0
dduEFRLdBkG,dNLjKwsVjod,1556892.0
IBS2IqaR1tU,dNLjKwsVjod,105507.0
fYwQk0kZSGz,dNLjKwsVjod,1.0633021E7
QO4D614g3Wi,dNLjKwsVjod,1358112.0
yxETk6879dc,dNLjKwsVjod,21109.0
Hg50j7QSZkj,dNLjKwsVjod,31575.0
iJNCzfcJQDP,dNLjKwsVjod,304042.0
vS8vKwOrvZb,dNLjKwsVjod,347625.0
oIC517k2BLE,dNLjKwsVjod,35855.0
GzBLG9h7Cbk,dNLjKwsVjod,64061.0
gEWalgNl9nv,dNLjKwsVjod,2991141.0
rD04ZzcaN5p,dNLjKwsVjod,0.0
rI2KhvPB8bc,dNLjKwsVjod,1402200.0
XyDzBGgAFNa,dNLjKwsVjod,1793.0
J6sUepWcdon,dNLjKwsVjod,4521.0
xDlpgVnDwJI,dNLjKwsVjod,8831076.0
Of9I5zs5k77,dNLjKwsVjod,1197300.0
Azd0uGUjGhE,dNLjKwsVjod,37505.0
lSu3LF8mZdf,dNLjKwsVjod,4263.0
CjREX74awT2,dNLjKwsVjod,9600.0
tU5blh4Sf1g,dNLjKwsVjod,3773025.0
TETsfOvYKRX,dNLjKwsVjod,3011.0
BiTjkJniRmp,dNLjKwsVjod,995.1
AqYTRr5SRQC,dNLjKwsVjod,52476.0
HwQXIC5FelW,dNLjKwsVjod,664.0
LynCFTtD5ow,dNLjKwsVjod,1663924.0
gnjS23yYmsI,dNLjKwsVjod,5930.0
UCEzCnZ2uMU,dNLjKwsVjod,1348431.0
CCyX8bHkSlz,dNLjKwsVjod,18239.0
spnTnEPMoV2,dNLjKwsVjod,10516.1
mZEciaYEO2F,dNLjKwsVjod,3759.0
VouoJHkBGM2,dNLjKwsVjod,89236.0
ZN37IwOVKKE,dNLjKwsVjod,1484061.0
vSs22KMgCMG,dNLjKwsVjod,2260500.0
DxD75aAjPZX,dNLjKwsVjod,3874686.0
b9vXmKRxlN4,dNLjKwsVjod,8738.0
HJv3z3HMfwe,dNLjKwsVjod,600.0
sKDaMKl5l8B,dNLjKwsVjod,7624311.0
zFNzY3y8r14,dNLjKwsVjod,63787.0
