Data,Organisation unit,Value
LSNFSyDR2Ec,10002055,402.0
Fnsa8A43USl,10001710,2559.0
EC4hrF3y7p9,10000914,71.0
GZWzBoEhi1S,10000098,1.0
CRZkTTALRSb,10000191,3009.0
EfLoEHPMrUL,10002096,67.0
JBhv2WOYxSf,10000436,18.0
GYGcXE0XEzA,10001543,6.0
EfLoEHPMrUL,10000303,42.0
Fnsa8A43USl,10000973,1245.0
fBurIvCJP0D,10002235,10.0
SW4mM4SA65U,10000842,240.0
EAN5GjcGP6k,10001988,0.0
p4sMIzLlIqk,10001355,580.0
RN4w5hxGHRk,10002182,3871.0
RN4w5hxGHRk,10001003,4409.0
GZWzBoEhi1S,10000461,74.0
EAN5GjcGP6k,10001768,7.0
GYGcXE0XEzA,10000727,42.0
GZWzBoEhi1S,10002177,428.0
AhQ1Net8U5z,10001417,225.0
EC4hrF3y7p9,10002004,1.0
RTJbhrOb0LB,10002006,1558.0
CRZkTTALRSb,10000083,18163.0
wwE5TRfBuhI,10001339,1272.0
RTJbhrOb0LB,10000347,2015.0
NlEkfvUZ1TS,10001189,0.0
EAN5GjcGP6k,10000223,0.0
p4sMIzLlIqk,10000988,834.0
GZWzBoEhi1S,10002211,79.0
GZWzBoEhi1S,10000939,36.0
nyxjGxsZ3GY,10001067,28.0
nyxjGxsZ3GY,10000489,151.0
NlEkfvUZ1TS,10001828,0.0
PVLH8nNufJv,10000838,184.0
RN4w5hxGHRk,10001917,1670.0
SW4mM4SA65U,10002096,254.0
Fnsa8A43USl,10000551,710.0
GZWzBoEhi1S,10000323,119.0
AhQ1Net8U5z,10000085,0.0
CRZkTTALRSb,10001937,989.0
J4LMYIjzMDh,10000234,328.0
J4LMYIjzMDh,10000838,287.0
Fnsa8A43USl,10001933,2343.0
RN4w5hxGHRk,10001539,1446.0
CRZkTTALRSb,10001459,2233.0
EAN5GjcGP6k,10002127,0.0
p4sMIzLlIqk,10002181,1439.0
RN4w5hxGHRk,10001450,2122.0
oPi0KdUUkmk,10002143,2541.0
GyTha0DmXeY,10001289,2876.0
NlEkfvUZ1TS,10001327,0.0
RN4w5hxGHRk,10001303,3118.0
JBhv2WOYxSf,10002056,69.0
SW4mM4SA65U,10000303,57.0
J4LMYIjzMDh,10000678,72.0
wwE5TRfBuhI,10001143,980.0
NlEkfvUZ1TS,10000188,0.0
EC4hrF3y7p9,10000352,60.0
p4sMIzLlIqk,10001374,88.0
CRZkTTALRSb,10002028,3199.0
PoAojyGYuBr,10001143,0.0
RTJbhrOb0LB,10001203,426.0
