Data,Organisation unit,Value
WLI1ZI7rmpW,HS_28032160000,285.0
dKGmDv4ECXm,gxJ9KOUbwVs,3.0
nHz5prD5MmK,YZuW11mpxxf,178.0
h0i5ShDuD8r,HS_28031020000,2.0
zEU0eGGX6tu,HS_28041080000,4.0
ZGi2mdScAOV,X7HTfUEHGlm,0.0
Pb1E9Ko3OwQ,n7nRLt8WaQk,0.0
gxnpwZzuGdT,xdvQmfjxF5B,0.0
vZhW1lZlJbJ,HS_28031630000,0.0
vat7tr4Mb5Z,HS_28031060000,4.0
uMgEsjd1HCN,HS_28041020000,21567.0
UxIv7uHnTif,HS_28042050000,9.0
HrnxboYS2pX,XptJR1j4Qxm,0.0
ldL9DxovaGZ,HS_28031310000,3428.0
TBkdRxrRn6m,HS_28031340000,1270.0
oLMIhDxyDdI,stZtawwLvHi,0.0
Zxn1hY7kmiY,HS_28041880000,0.0
h0i5ShDuD8r,HS_28041020000,21.0
THeGZih2HUE,HS_28041040000,0.0
edyPqwHl8xs,HS_28032010000,539.0
KBWEDXf1bhU,HS_28041920000,0.0
m8HgPVCalQa,HS_28041860000,1599.0
cJFpYp57f3g,HS_28041030000,4352.0
TBkdRxrRn6m,HS_28042110000,1347.0
m8HgPVCalQa,PamTv8qmCvU,1860.0
dKGmDv4ECXm,HS_28042050000,0.0
Pb1E9Ko3OwQ,wR2xH66fE0u,0.0
vat7tr4Mb5Z,HS_28041110000,18.0
oLMIhDxyDdI,HS_28031720000,0.0
WLI1ZI7rmpW,lU0pLiUOlXu,2120.0
h0i5ShDuD8r,euOy4lQhJ8w,0.0
Pb1E9Ko3OwQ,HS_28031610000,0.0
zEU0eGGX6tu,HS_28041810000,34.0
ux5hjOaieWd,HS_28041920000,0.0
poYsKiXiMsN,HS_28031310000,62.0
hk3eorYt6l9,HS_28041420000,60.0
mG4lyntANUW,HS_28042160000,10.0
edyPqwHl8xs,HS_28031890000,40.0
Rf6YaoD9pDU,HS_28041070000,4.0
TBkdRxrRn6m,HS_28041850000,2641.0
THeGZih2HUE,HS_28041210000,21.0
TUaZt44MekA,HS_28041810000,2225.0
Zxn1hY7kmiY,HS_28031720000,0.0
oLMIhDxyDdI,HS_28041190000,0.0
TBkdRxrRn6m,HS_28041720000,213.0
TBkdRxrRn6m,o5tL4SxLjQR,203.0
plQNV0jdrl2,HS_28031840000,630.0
edyPqwHl8xs,HS_28041590000,184.0
lAG3wQPDtBx,AcRgGMqHWvA,0.0
WebekThVMuW,HS_28041060000,64636.0
edyPqwHl8xs,HS_28042070000,359.0
HrnxboYS2pX,LYZBWvkhNzf,37.0
h0i5ShDuD8r,TsmfPnS4ubQ,3.0
DDmuj1o7sKy,HS_28041910000,5.0
Xca8sSvZIED,MsjxNfVQDMy,2.0
Zxn1hY7kmiY,HS_28041190000,6.0
WLI1ZI7rmpW,HS_28041070000,721.0
PxMpuBloSvM,HS_28031060000,76.0
uMgEsjd1HCN,TsmfPnS4ubQ,18.0
dG01gFyUUpJ,HS_28031830000,0.0
uTU4zCB25ti,HS_28041550000,0.0
h0i5ShDuD8r,tcAElNSUQpN,0.0
THeGZih2HUE,HS_28031920000,0.0
Mj0dHA7IfiD,LYZBWvkhNzf,654.0
yTWRW7tqvCr,d76HRJIYdWr,0.0
gxnpwZzuGdT,HS_28041120000,0.0
HrnxboYS2pX,HS_28041090000,0.0
zEU0eGGX6tu,HS_28041870000,3.0
DDmuj1o7sKy,HS_28041150000,4.0
hk3eorYt6l9,n7nRLt8WaQk,0.0
cJFpYp57f3g,Nm6v87QnZHZ,843.0
Mdg4YwkZA3q,HS_28041030000,19592.0
cJFpYp57f3g,HS_28042010000,526.0
yTWRW7tqvCr,HS_28031310000,154.0
lAG3wQPDtBx,HS_28032030000,0.0
poYsKiXiMsN,d76HRJIYdWr,0.0
WebekThVMuW,nkw5zOXFCw6,0.0
ZGi2mdScAOV,o2JJuTv1KX7,57.0
vZhW1lZlJbJ,HS_28041640000,31.0
ldL9DxovaGZ,HS_28031020000,416.0
Zxn1hY7kmiY,stZtawwLvHi,0.0
WebekThVMuW,HS_28042060000,626.0
h0i5ShDuD8r,HS_28031310000,48.0
PzjNbfRFWyP,HS_28041060000,186.0
WLI1ZI7rmpW,HS_28041150000,7428.0
TBkdRxrRn6m,HS_28041130000,4732.0
ldL9DxovaGZ,d76HRJIYdWr,8209.0
mG4lyntANUW,HS_28031870000,0.0
TBkdRxrRn6m,HS_28041680000,422.0
gxnpwZzuGdT,HS_28041830000,0.0
dG01gFyUUpJ,HS_28041920000,0.0
aCaapVHHGTM,HS_28041450000,18.0
dKGmDv4ECXm,WPrEeHmWfCI,0.0
TBkdRxrRn6m,HS_28031410000,264.0
oLMIhDxyDdI,HS_28041880000,0.0
TBkdRxrRn6m,HS_28031810000,269.0
mG4lyntANUW,HS_28041450000,99.0
aCaapVHHGTM,HS_28041330000,678.0
Mdg4YwkZA3q,PamTv8qmCvU,1960.0
hk3eorYt6l9,o2JJuTv1KX7,0.0
Pb1E9Ko3OwQ,HS_28041690000,0.0
h0i5ShDuD8r,HS_28041170000,0.0
ldL9DxovaGZ,whhS4QrIQFy,349.0
oLMIhDxyDdI,slpRdryS3YC,0.0
cJFpYp57f3g,HS_28031840000,1627.0
KBWEDXf1bhU,HS_28042130000,274.0
hk3eorYt6l9,wR2xH66fE0u,0.0
mG4lyntANUW,YZuW11mpxxf,9.0
uTU4zCB25ti,HS_28041620000,50.0
WebekThVMuW,rNd3I87AyD6,5234.0
Epd0OyfDJSA,HS_28041840000,504.0
DDmuj1o7sKy,HS_28031330000,63.0
Mdg4YwkZA3q,HS_28031840000,630.0
WLI1ZI7rmpW,HS_28041870000,7153.0
uMgEsjd1HCN,HS_28041620000,56.0
DDmuj1o7sKy,HS_28031660000,550.0
plQNV0jdrl2,HS_28041030000,22526.0
mG4lyntANUW,AcRgGMqHWvA,0.0
WLI1ZI7rmpW,HS_28031660000,5988.0
WebekThVMuW,wh8nZnIJd0q,0.0
WLI1ZI7rmpW,HS_28031330000,699.0
vat7tr4Mb5Z,n47MJv29TTh,0.0
lAG3wQPDtBx,HS_28042160000,138.0
ldL9DxovaGZ,HS_28041840000,4364.0
npKx146IC4n,d76HRJIYdWr,7003.0
npKx146IC4n,HS_28031060000,331.0
yTWRW7tqvCr,TsmfPnS4ubQ,17.0
oLMIhDxyDdI,bk2yFAWm2aS,0.0
lAG3wQPDtBx,HS_28031870000,0.0
uTU4zCB25ti,euOy4lQhJ8w,68.0
m8HgPVCalQa,HS_28041880000,9555.0
THeGZih2HUE,HS_28042030000,0.0
dKGmDv4ECXm,HS_28031920000,3.0
Uh7k0aWkeAV,HS_28041910000,96.0
gxnpwZzuGdT,HS_28041210000,226.0
WLI1ZI7rmpW,HS_28041080000,3612.0
dG01gFyUUpJ,LYZBWvkhNzf,1.0
edyPqwHl8xs,HS_28041570000,838.0
aCaapVHHGTM,YZuW11mpxxf,2.0
npKx146IC4n,HS_28041110000,46.0
cDhyhRlvgjK,HS_28041420000,1340.0
UxIv7uHnTif,HS_28031920000,1.0
cDhyhRlvgjK,HS_28031840000,1715.0
nbuIpWI5Q8d,HS_28041110000,330.0
poYsKiXiMsN,TsmfPnS4ubQ,1.0
WLI1ZI7rmpW,HS_28041910000,6031.0
vat7tr4Mb5Z,HS_28041650000,1451.0
THeGZih2HUE,IlYHAuBFkDo,0.0
TUaZt44MekA,HS_28041070000,329.0
WpW4kIFC9C3,HS_28041340000,2.0
