Data,Organisation unit,Value
Gf6lEllg2nM,dNLjKwsVjod,27676.0
lXY1Qn1Xmym,dNLjKwsVjod,883.0
KrtijNiVXQd,dNLjKwsVjod,5866988.0
CdbqCEN6J1I,dNLjKwsVjod,20246.0
aK1cbe954yX,dNLjKwsVjod,10948.0
j9BXR3fcgBU,dNLjKwsVjod,5960145.0
YmH96Ob0NBP,dNLjKwsVjod,1555707.0
ejwMhgWnnjp,dNLjKwsVjod,23330.0
kTqSo5SnlBi,dNLjKwsVjod,739.0
aiQep6Y8DiC,dNLjKwsVjod,4.4970216E7
iWNq47wSHeH,dNLjKwsVjod,18444.0
kpkNrzQTYkG,dNLjKwsVjod,0.0
XcI4Wjp5L7i,dNLjKwsVjod,9.1923816E7
mxdYJga4Oj9,dNLjKwsVjod,410230.0
F7SY1nlzxsh,dNLjKwsVjod,36292.0
F6DqE5xpTOZ,dNLjKwsVjod,4458.0
oHx6fAhrdRw,dNLjKwsVjod,3145942.0
eNTRf5caxYa,dNLjKwsVjod,25682.0
HH3mbuLQ3Fy,dNLjKwsVjod,28179.0
GLsAX7CoejC,dNLjKwsVjod,5046.0
QUvmRKu2SHI,dNLjKwsVjod,421.0
Pmkei3034T3,dNLjKwsVjod,1421399.0
lzDaUMzu2sB,dNLjKwsVjod,442.0
zpF9PXuVzFb,dNLjKwsVjod,449.0
Z1LFCojJ3oU,dNLjKwsVjod,1470600.0
iPOIupRRbet,dNLjKwsVjod,1213594.0
zpxBh06iewG,dNLjKwsVjod,1553789.0
oFuUltZt2kL,dNLjKwsVjod,1205070.0
mkS9tKtFJwg,dNLjKwsVjod,8884251.0
HwX8sJbFytZ,dNLjKwsVjod,3161801.0
hDbw2Z8FinI,dNLjKwsVjod,499.0
HgCvJyeV8s1,dNLjKwsVjod,256241.0
tJmmzGcJpAJ,dNLjKwsVjod,64881.0
F6Sj0Nemixl,dNLjKwsVjod,308890.2
gCFmCwtKtG9,dNLjKwsVjod,318975.4
lnJZ8U8fAps,dNLjKwsVjod,1403608.3
qC35JBYiNvW,dNLjKwsVjod,198090.0
XdBa916vNo2,dNLjKwsVjod,2629315.0
gxlRbfWMpVx,dNLjKwsVjod,0.0
qRf4BEqDWEO,dNLjKwsVjod,4735356.0
hveFMwiLEd6,dNLjKwsVjod,375.0
mSRPxSz7mpC,dNLjKwsVjod,782.0
sthqDXmS4Nm,dNLjKwsVjod,455.6
f6Klhc8cltP,dNLjKwsVjod,23998.0
seXaR7uNRXJ,dNLjKwsVjod,0.0
GMuJ1q2PFFJ,dNLjKwsVjod,6555.0
L3D8zpb45fV,dNLjKwsVjod,6379922.0
CMuwZf2vDD3,dNLjKwsVjod,808638.0
gkVkv3ffz5v,dNLjKwsVjod,194.0
esdiLuANYzJ,dNLjKwsVjod,861180.0
uv5CVs53ise,dNLjKwsVjod,1241527.0
snj7yyk7H6r,dNLjKwsVjod,0.0
SeHc7pKhNZ3,dNLjKwsVjod,849.2
nYixxLPGLKg,dNLjKwsVjod,0.0
VExs9bwa6Mb,dNLjKwsVjod,21614.0
